_id,type,name,description,url,nameJa,descriptionJa,urlJa,range100x,unitOfRange,virtualTargetName,positionsMask,gunTypesMask,sightTypesMask,numOfShots,duration,numOfStages,nextId
1,"","5m Slow Fire Freestyle","5m (5.47yds), 10 shots in 4min. Any type of guns, sights and firing positions are allowed.","","5m 精密射撃 フリースタイル","5m, 10発/4分。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",500,0,"",0,0,0,10,240,1,2
2,"","5m Timed Fire Freestyle","5m (5.47yds), 5 shots in 20sec x2 stages. Any type of guns, sights and firing positions are allowed.","","5m 速射20秒 フリースタイル","5m, 5発/20秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",500,0,"",0,0,0,5,20,2,3
3,"","5m Rapid Fire Freestyle","5m (5.47yds), 5 shots in 10sec x2 stages. Any type of guns, sights and firing positions are allowed.","","5m 速射10秒 フリースタイル","5m, 5発/10秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",500,0,"",0,0,0,5,10,2,0
11,"","10m Slow Fire Freestyle","10m (10.94yds), 10 shots in 4min. Any type of guns, sights and firing positions are allowed.","","10m 精密射撃 フリースタイル","10m, 10発/4分。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",1000,0,"",0,0,0,10,240,1,12
12,"","10m Timed Fire Freestyle","10m (10.94yds), 5 shots in 20sec x2 stages. Any type of guns, sights and firing positions are allowed.","","10m 速射20秒 フリースタイル","10m, 5発/20秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",1000,0,"",0,0,0,5,20,2,13
13,"","10m Rapid Fire Freestyle","10m (10.94yds), 5 shots in 10sec x2 stages. Any type of guns, sights and firing positions are allowed.","","10m 速射10秒 フリースタイル","10m, 5発/10秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",1000,0,"",0,0,0,5,10,2,0
21,"","15m Slow Fire Freestyle","15m (16.40yds), 10 shots in 4min. Any type of guns, sights and firing positions are allowed.","","15m 精密射撃 フリースタイル","15m, 10発/4分。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",1500,0,"",0,0,0,10,240,1,22
22,"","15m Timed Fire Freestyle","15m (16.40yds), 5 shots in 20sec x2 stages. Any type of guns, sights and firing positions are allowed.","","15m 速射20秒 フリースタイル","15m, 5発/20秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",1500,0,"",0,0,0,5,20,2,23
23,"","15m Rapid Fire Freestyle","15m (16.40yds), 5 shots in 10sec x2 stages. Any type of guns, sights and firing positions are allowed.","","15m 速射10秒 フリースタイル","15m, 5発/10秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。","",1500,0,"",0,0,0,5,10,2,0
51,"nra_onestring","5 yard Slow Fire Precision Pistol","5yds (4.57m), 10 shots in 10min. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B6 target.","","5ヤード 精密射撃 Precision Pistol","5ヤード(4.57m), 10発/10分。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB6ターゲット。","",500,1,"nra_b6",1,1,15,10,600,1,52
52,"nra","5 yard Timed Fire Precision Pistol","5yds (4.57m), 5 shots in 20sec x 2strings. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B8 target.","","5ヤード 速射20秒 Precision Pistol","5ヤード(4.57m), 5発/20秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB8ターゲット。","",500,1,"nra_b8",1,1,15,5,20,2,53
53,"nra","5 yard Rapid Fire Precision Pistol","5yds (4.57m), 5 shots in 10sec x 2strings. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B8 target.","","５ヤード 速射10秒 Precision Pistol","5ヤード(4.57m), 5発/10秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB8ターゲット。","",500,1,"nra_b8",1,1,15,5,10,2,0
61,"nra_onestring","10 yard Slow Fire Precision Pistol","10yds (9.14m), 10 shots in 10min. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B6 target.","","10ヤード 精密射撃 Precision Pistol","10ヤード(9.14m), 10発/10分。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB6ターゲット。","",1000,1,"nra_b6",1,1,15,10,600,1,62
62,"nra","10 yard Timed Fire Precision Pistol","10yds (9.14m), 5 shots in 20sec x 2strings. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B8 target.","","10ヤード 速射20秒 Precision Pistol","10ヤード(9.14m), 5発/20秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB8ターゲット。","",1000,1,"nra_b8",1,1,15,5,20,2,63
63,"nra","10 yard Rapid Fire Precision Pistol","10yds (9.14m), 5 shots in 10sec x 2strings. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B8 target.","","10ヤード 速射10秒 Precision Pistol","10ヤード(9.14m), 5発/10秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB8ターゲット。","",1000,1,"nra_b8",1,1,15,5,10,2,0
71,"nra_onestring","15 yard Slow Fire Precision Pistol","15yds (13.72m), 10 shots in 10min. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B6 target.","","15ヤード 精密射撃 Precision Pistol","15ヤード(13.72m), 10発/10分。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB6ターゲット。","",1500,1,"nra_b6",1,1,15,10,600,1,72
72,"nra","15 yard Timed Fire Precision Pistol","15yds (13.72m), 5 shots in 20sec x 2strings. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B8 target.","","15ヤード 速射20秒 Precision Pistol","15ヤード(13.72m), 5発/20秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB8ターゲット。","",1500,1,"nra_b8",1,1,15,5,20,2,73
73,"nra","15 yard Rapid Fire Precision Pistol","15yds (13.72m), 5 shots in 10sec x 2strings. Handgun only, any sights except laser pointer are allowed. Standing position, with the gun held in one hand only. Quater-sized B8 target.","","15ヤード 速射10秒 Precision Pistol","15ヤード(13.72m), 5発/10秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。1/4サイズのB8ターゲット。","",1500,1,"nra_b8",1,1,15,5,10,2,0
81,"jasg","Air Precision Shooting Bullseye Handgun","5m (5.47yds), 5 shots in 2min x2 stages. Handgun only. Standing position, with the gun held in one hand only. Any sights are allowed. ","","Air Precision Shooting ブルズアイ ハンドガン","5m, 5発/2分 x 2ステージ。ハンドガン、スタンディング・ワンハンド。サイトに制限なし。","",500,0,"jasg_bullseye",1,1,0,5,120,2,0
85,"jasg","Air Precision Shooting Bullseye Rifle","10m (10.94yds), 5 shots in 2min x2 stages. Rifle(including Shotgun and SMG) only. Standing position. Any sights are allowed. ","","Air Precision Shooting ブルズアイ ライフル","10m, 5発/2分 x 2ステージ。ライフル、スタンディング。サイトに制限なし。","",1000,0,"jasg_bullseye",2,30,0,5,120,2,0
90,"issf","5m air pistol","5m (5.47yds), 5 shots in 250sec x2 stages. Pistol with iron sight only. Standing position, with the gun held in one hand only. ","","5m エアピストル","5m, 5発/250秒 x 2ステージ。ピストル、立射片手打ち。アイアンサイトのみ。","",500,0,"issf_10m_pistol",1,1,1,5,250,2,0
91,"issf","10m air pistol","10m (10.94yds), 5 shots in 250sec x2 stages. Pistol with iron sight only. Standing position, with the gun held in one hand only. ","","10m エアピストル","10m, 5発/250秒 x 2ステージ。ピストル、立射片手打ち。アイアンサイトのみ。","",1000,0,"issf_10m_pistol",1,1,1,5,250,2,0
95,"issf","10m air rifle","10m (10.94yds), 5 shots in 250sec x2 stages. Rifle(including Shotgun and SMG) with any sights. Standing position.","","10m エアライフル","10m, 5発/250秒 x 2ステージ。ライフル、立射。サイトに制限なし。","",1000,0,"issf_10m_rifle",2,30,1,5,250,2,0
