_id,shortName,longName,url,shortNameJa,longNameJa,urlJa
a&k,"A&K","A&K AIRSOFT","http://www.akairsoft.com/","","",""
agm,"AGM","","","AGM","",""
aps,"APS","","http://www.aps-concept.com/","APS","",""
arcturus,"ARCTURUS","","https://arcturus-tactical.com/","ARCTURUS","",""
ares,"ARES","ARES AIRSOFT","http://www.aresairsoft.com/","ARES","ARES AIRSOFT",""
asg,"ASG","ActionSportGames","https://actionsportgames.com/","ASG","",""
bolt,"BOLT","BOLT AIRSOFT","https://www.bolt.tw/","BOLT","BOLT AIRSOFT","https://www.bolt-japan.jp/"
classicarmy,"CLASSIC ARMY","CLASSIC ARMY","http://www.classicarmy.com/","CA (クラシックアーミー)","CA(クラシックアーミー)",""
crown,"CROWN","CROWN MODEL","http://www.crown-model.co.jp/","クラウン","クラウンモデル",""
cybergun,"CYBERGUN","","https://cybergun.com/","CYBERGUN","",""
cyma,"CYMA","","https://cymagun.com/","CYMA (シーマ)","",""
doubleeagle,"DOUBLE EAGLE","DOUBLE EAGLE AIRSOFT","http://www.deairsoft.com/","","",""
e&l,"E&L","E&L AIRSOFT","https://el-airsoft.com/","E&L","E&L AIRSOFT",""
emg,"EMG","EMG Arms","http://www.emgarms.com/","EMG","EMG Arms",""
g&g,"G&G","G&G ARMAMENT","https://www.guay2.com/","G&G","G&G ARMAMENT","https://www.guay2.com/ja"
g&p,"G&P","","http://www.gp-web.com/","G&P","","http://www.gp-web.jp/"
ghk,"GHK","GHK AIRSOFT","https://www.ghkairsoft.com/en/","GHK","",""
hartford,"HARTFORD","","http://www.hartford.co.jp/","ハートフォード","",""
ics,"ICS","ICS AIRSOFT","https://www.icsbb.com/","","","https://ics.militaryblog.jp/"
kingarms,"KING ARMS","","http://www.kingarms.com/","","",""
kjworks,"KJ WORKS","","http://www.kjworks.com.tw/","","",""
kokusai,"KOKUSAI","","","コクサイ","",""
krytac,"KRYTAC","","https://krytac.com/","KRYTAC","","http://www.krytac.jp/"
ksc,"KSC","","https://ksc-guns.co.jp/","KSC","",""
ktw,"K.T.W.","","https://www.ktw-co.com/","K.T.W.","ケー・ティー・ダブリュ",""
lct,"LCT","LCT AIRSOFT","https://lctairsoft.com","LCT","LCTエアソフト","https://lctairsoft.com/webe/html/about/about_j.aspx"
marui,"MARUI","TOKYO MARUI","https://www.tokyo-marui.co.jp/","マルイ","東京マルイ",""
marushin,"MARUSHIN","","http://marushin-kk.co.jp/","マルシン","マルシン工業",""
maruzen,"MARUZEN","","https://maruzen-aps.com/","マルゼン","",""
realsword,"RS","REAL SWORD","http://www.realsword.com.hk/index0.html/","","","http://www.realsword.com.hk/jp/index.html"
s2s,"SⅡS","","http://www.s2s.co.jp/","SⅡS","SⅡS(エスツーエス)",""
s&t,"S&T","S&T ARMAMENT","https://smartteamhk.com/","S&T","S&T ARMAMENT",""
sig,"SIG SAUER","","https://www.sigsauer.com/airsoft.html","","",""
src,"SRC","StarRainbow Company","http://www.starrainbow.com.tw/?lang=en","","",""
sunproject,"SUN PROJECT","","http://sunproject.shop1.makeshop.jp/","サン・プロジェクト","",""
tanaka,"TANAKA","TANAKA WORKS","https://www.tanaka-works.com/","タナカ","",""
taniokoba,"TANIOKOBA","","http://www.taniokoba.co.jp/","タニオ・コバ","",""
umarex,"UMAREX","","https://www.umarex.com/","","",""
vfc,"VFC","Vega Force Company","https://www.vegaforce.com/","","","https://www.gb-tech.jp/"
wa,"WA","WESTERN ARMS","https://www.wa-gunnet.co.jp/","WA","ウエスタンアームズ(WA)",""
wetech,"WE-Tech","","https://www.weairsoft.com/","We-Tech","We-Tech (ウィーテック)","http://www.weairsoft.jp/"

other,"Other Manufacturer","",,"その他の製造元","",""
unknown,"","",,"","",""
